🎤 Record your voice,Or type your prompt here (optional),📝 Recognized / Entered Text,🎨 Generated Image,🔊 Your Recorded Audio,timestamp
,,,,,2025-10-03 20:02:27.426535
,A futuristic city in the clouds,,,,2025-10-03 20:31:34.960902
